OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing,Planning_Ref,BoundRef
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00205,,"""City One (Caddick), Manor Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00205,ETRS89,-1.54750643,53.78698149,2.93,not owned by a public authority,,not permissioned,,,,,1465,,,,1465,1465,,,,11/07/2016,20/12/2022,445,429809,432415,,SHL002051
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00206,,"""57 Great George Street LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00206,ETRS89,-1.55034116,53.80075455,0.02,not owned by a public authority,,not permissioned,,,,,7,,,,7,7,,,,11/07/2016,20/12/2022,446,429613,433946,,SHL002061
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00207,,"""Doncaster Monk Bridge, Whitehall Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00207,ETRS89,-1.55998173,53.79330082,3.49,not owned by a public authority,yes,permissioned,full planning permission,13/06/2019,,,1127,"Two residential blocks at 17 and 21 storey's high, comprising of 463 flats with linked podium, car parking, landscaping and associated facilities",,,1127,1127,,,,11/07/2016,20/12/2022,447,428983,433112,18/02481/FU,SHL002071
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00210,,"""Globe Road/water Lane LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00210,ETRS89,-1.55326003,53.79197512,1.79,not owned by a public authority,yes,permissioned,full planning permission,05/10/2018,,,750,"Hybrid planning application for a phased development comprising 1) Demolition of existing buildings and structures and preparatory works; 2) Detailed planning permission for erection of two office buildings (use class B1) with ground floor uses comprising any or all of retail, office and leisure (use classes A1, A2, A3, A4, A5, B1 and/or D2) totalling up to 26,100sqm gross external area and associated means of access, parking, landscaping and associated infrastructure works; and 3) Outline planning permission, to be implemented in phases, for mixed use development (with part of the existing print works building retained) totalling up to 103,900 sqm gross external area comprising residential use (C3); business floor space (B1 a/b/c); and other uses including all or some of the following; retail, leisure, hotel, health and community uses (use classes A1, A2, A3, A4, A5, B1, C1, D1 and D2); car parking (that may include a multi-storey car park); new public spaces; hard and soft landscaping; cycle parking; access; servicing; and other associated infrastructure and engineering works",,,750,750,,,,11/07/2016,20/12/2022,450,429426,432968,17/06455/FU,SHL002101
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00279,,"""Kirkstall Forge
Abbey Road
Kirkstall
Leeds
Kirkstall Forge, Abbey Road, Kirkstall, LS5 3NF""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00279,ETRS89,-1.62348935,53.82553121,17.82,not owned by a public authority,yes,permissioned,reserved matters approval,08/02/2021,,,1315,"Reserved Matters application for 213 dwellings (C3), up to 2,076 sq. m. of commercial floorspace (Use Class E and/or Use Class Sui Generis (Pubs/Drinking Establishments), and/or Use Class Sui Generis (Hot Food Takeaways), amenity space and a new public square.",,,1315,1315,,,,11/07/2016,20/12/2022,626,424781,436674,20/05885/RM,SHL002792
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00280,,"""Westfield Mill Broad Lane LS13""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00280,ETRS89,-1.64490684,53.80984524,1.99,not owned by a public authority,,not permissioned,,,,,133,,,,133,133,,,,11/07/2016,20/12/2022,636,423380,434922,,SHL002801
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00283,,"""Berry Mount Wood Lane LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00283,ETRS89,-1.62611483,53.79532120,0.61,not owned by a public authority,,not permissioned,,,,,12,,,,12,12,,,,11/07/2016,20/12/2022,644,424626,433312,,SHL002831
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00303,,"""83-105 Bradford Road Stanningley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00303,ETRS89,-1.67245115,53.80479957,1.17,not owned by a public authority,,not permissioned,,,,,78,,,,78,78,,,,11/07/2016,20/12/2022,678,421569,434352,,SHL003031
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00306,,"""Eastmoor Tile Lane, Adel, LS16""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00306,ETRS89,-1.57165603,53.85193430,5.60,mixed ownership,,not permissioned,,,,,67,,,,67,67,,,,11/07/2016,20/12/2022,685,428174,439631,,SHL003061
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00307,,"""Dunstarn Lane, Adel, LS 16""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00307,ETRS89,-1.57688113,53.84497190,2.74,not owned by a public authority,yes,permissioned,full planning permission,06/10/2017,,,37,"Construction of 42 houses with associated access, parking, landscaping and public open space including demolition of two houses",,,37,37,,,,11/07/2016,20/12/2022,687,427835,438854,16/06463/FU,SHL003071
